Price,Close,High,Low,Open,Volume,Daily Return,50 MA,200 MA
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2022-01-03,178.44314575195312,179.2961065398854,174.22742479359925,174.34506836720536,104487900,,,
2022-01-04,176.1783905029297,179.35490114678188,175.60975505040156,179.05097865451486,99310400,-0.012691746939787696,,
2022-01-05,171.4920654296875,176.6391804132829,171.21755382734324,176.09015720859438,94537600,-0.026599885830857706,,
2022-01-06,168.6293182373047,171.86465117218228,168.27637255423144,169.31559735445745,96904000,-0.016693175775858604,,
2022-01-07,168.7959747314453,170.72736974687896,167.67831596269667,169.50186605484046,86709100,0.000988300823858479,,
2022-01-10,168.8155517578125,169.1194742164662,164.8743285177746,165.76649860978034,106765600,0.00011598041006810611,,
2022-01-11,171.64895629882812,171.7469876214078,167.47244497092254,168.9430494474789,76138300,0.0167840255919105,,
2022-01-12,172.090087890625,173.70774639139225,171.39401033832232,172.6685219038925,74805200,0.002569963728931146,,
2022-01-13,168.8155517578125,173.15872875555698,168.42338168232487,172.33519403667106,84505800,-0.019028034519301795,,
2022-01-14,169.6783447265625,170.37442243944997,167.73713612609606,167.9822368621362,80440800,0.0051108618830792985,,
2022-01-18,166.472412109375,169.15870642783565,166.09005558435084,168.1488926576498,90956700,-0.018894176639652427,,
2022-01-19,162.97238159179688,167.72734198246087,162.68807131265714,166.66850497918634,94815000,-0.021024687954173116,,
2022-01-20,161.28607177734375,166.3547528521012,160.9625370330281,163.70766807832655,91420500,-0.010347212196216704,,
2022-01-21,159.2272491455078,163.070426973366,159.1194042209609,161.19785371976124,122848900,-0.012765036739676772,,
2022-01-24,158.4527130126953,159.11939476840692,151.66832669269064,156.88407733764427,162294600,-0.0048643441180391545,,
2022-01-25,156.64877319335938,159.5703696285005,153.942866591661,155.86444788627315,115798400,-0.011384720305744445,,
2022-01-26,156.560546875,161.1684376714049,154.72719817611775,160.29587965880856,108275300,-0.0005632110393259948,,
2022-01-27,156.09974670410156,160.62920319221885,155.17816560951687,159.26644379654334,121954600,-0.0029432713419578205,,
2022-01-28,166.9920196533203,167.01163189910224,159.6095873711376,162.4625632621154,179935700,0.0697776465317772,,
2022-01-31,171.3548126220703,171.57050245050323,166.18808530239932,166.8253561445004,115541600,0.026125757253593784,,
2022-02-01,171.1881561279297,171.41364461299403,168.93322639800166,170.5999083862923,86213900,-0.0009725813450491838,,
2022-02-02,172.39401245117188,172.43323693783623,169.933206984409,171.32537706582437,84914300,0.0070440406072314055,,
2022-02-03,169.51165771484375,172.78621481447524,168.74694463929947,171.0606961129302,89418100,-0.01671957567055593,,
2022-02-04,169.2269744873047,170.9056058671137,167.54834310749567,168.52999503096257,82465400,-0.0016794315587307374,,
2022-02-07,168.5103759765625,170.75835233330088,167.8133965069876,169.68835531132382,77251200,-0.0042345406984507505,,
2022-02-08,171.62222290039062,172.1326861402394,168.28459707531294,168.57909567441112,74829200,0.018466797108451782,,
2022-02-09,173.04559326171875,173.40879966630814,171.6909088658484,172.81981752201338,71285000,0.008293625017048223,,
2022-02-10,168.96194458007812,172.26029603848204,168.40241070544232,170.94488589786454,90865900,-0.023598686361601895,,
2022-02-11,165.54579162597656,169.90432887481495,164.95679443820137,169.16808987950634,98670700,-0.020218475601661345,,
2022-02-14,165.78138732910156,166.46854070339387,163.5039475985097,164.2990832872494,86185500,0.0014231452265320854,,
2022-02-15,169.61964416503906,169.77671208150778,167.12625465108732,167.83304529637556,62527400,0.02315251969943999,,
2022-02-16,169.38406372070312,170.15956224722075,166.9299336029845,168.6969102835062,61177400,-0.0013888747703463267,,
2022-02-17,165.78138732910156,168.7557915611827,165.37890643172315,167.8919330456037,69589300,-0.02126927594287742,,
2022-02-18,164.23036193847656,167.410904431975,163.14072775638053,166.70412886139007,82772700,-0.0093558475750114,,
2022-02-22,161.30508422851562,163.6315949695041,159.17488593776793,161.95296324654277,91162800,-0.017812039597506324,,
2022-02-23,157.13308715820312,163.10151982057843,156.81895123974914,162.50271133249743,90009200,-0.02586401470397648,,
2022-02-24,159.75405883789062,159.86204116175165,149.21111050582687,149.7804704881103,141147500,0.016679947725132482,,
2022-02-25,161.82534790039062,162.09038317154068,157.91836192123637,160.83386973446065,91974200,0.012965486307936702,,
2022-02-28,162.0903778076172,162.38487641130448,159.44973145996255,160.06817702982372,95056600,0.00163775274186162,,
2022-03-01,160.2056121826172,163.5432381527931,158.99818435052663,161.67809026330085,83474400,-0.011627868664955576,,
2022-03-02,163.50396728515625,164.28929194125575,159.96020269374122,161.37378407895594,79724800,0.020588261906700822,,
2022-03-03,163.1800079345703,165.81084308627598,162.51249176371445,165.3789138092183,76678400,-0.0019813546788191028,,
2022-03-04,160.1761474609375,162.51248390357455,159.1257876596409,161.4719352294381,83737200,-0.018408262823698673,,
2022-03-07,156.37713623046875,161.99218577844468,156.12189717358572,160.36264017995268,96418800,-0.02371770885172042,,
2022-03-08,154.55128479003906,159.89147377341504,152.94137619759366,155.90596926887457,131148300,-0.011675948827575056,,
2022-03-09,159.96018981933594,160.41175632836593,156.4851483427237,158.51716018630677,91454900,0.03499747696465283,,
2022-03-10,155.61146545410156,157.4471497383223,153.11806120676204,157.26063347822767,105342000,-0.027186291602591672,,
2022-03-11,151.8909912109375,156.357510261072,151.66521547258807,156.0139261115159,96970100,-0.02390874112204433,,
2022-03-14,147.85641479492188,151.29219668682538,147.34596655573256,148.671187726746,108732100,-0.02656231540692655,,
2022-03-15,152.244384765625,152.71558844748628,147.62081285085458,148.1312610379761,92964300,0.029677237722754768,164.46246490478515,
2022-03-16,156.66184997558594,157.0643309184818,151.62598505111097,154.16846031293665,102300200,0.029015619963662198,164.0268389892578,
2022-03-17,157.67294311523438,158.04597567713608,154.73781315339022,155.6998279417029,75615400,0.0064539844244531075,163.65673004150392,
2022-03-18,160.9712677001953,161.46209362986437,156.82869565548296,157.56493454998656,123511700,0.020918773505422372,163.44631408691407,
2022-03-21,162.34559631347656,163.29779985653147,160.01907112060528,160.509897071507,95811400,0.008537726222302533,163.3206396484375,
2022-03-22,165.72250366210938,166.31148589554496,161.88424061211234,162.4732228455479,81532000,0.02080073266731719,163.2591702270508,
2022-03-23,167.08697509765625,169.47238200494985,164.57393367238456,164.9077066995065,98062700,0.008233471045844709,163.22459869384767,
2022-03-24,170.8761749267578,170.94488277941835,167.08699751675573,167.9213927494687,90131400,0.022678008425772944,163.20914306640626,
2022-03-25,171.51425170898438,172.06397447426608,169.5803959233043,170.68966756106184,80546200,0.003734147153633627,163.19762634277345,
2022-03-28,172.37811279296875,172.5057173789197,168.8441592815926,169.01103833923784,90371900,0.005036672319511437,163.26887756347656,
2022-03-29,175.6764678955078,175.7255385178658,173.1045291861119,173.44811341555265,100589400,0.01913441938246807,163.38884002685546,
2022-03-30,174.50828552246094,176.31452166228107,173.45791066079582,175.27397290735905,92633200,-0.006649623521243098,163.5495574951172,
2022-03-31,171.40628051757812,174.763529034082,171.20012697779308,174.5770127311391,103049300,-0.017775688962823222,163.7182354736328,
2022-04-01,171.11175537109375,171.67130419323556,168.78524495629924,170.83689401317795,78751300,-0.0017182867838624327,163.9147491455078,
2022-04-04,175.16598510742188,175.21507070313862,171.2393771112145,171.3669966643139,76468400,0.02369346119754101,164.2335238647461,
2022-04-05,171.84799194335938,175.0285497272662,171.21973527998745,174.2432251533462,73401800,-0.018941994714485877,164.50142944335937,
2022-04-06,168.67724609375,170.44422249190762,167.00844087614192,169.1975203972604,89058800,-0.01845087518191335,164.7419989013672,
2022-04-07,168.98155212402344,170.179168602463,166.73357593477996,168.01953748650962,77594700,0.0018040727917996158,164.99041900634765,
2022-04-08,166.96917724609375,168.6281714448174,166.09550760626425,168.6281714448174,76575500,-0.011908843614199416,165.2078076171875,
2022-04-11,162.70883178710938,165.92864940184566,162.46341876782265,165.61452852614607,72246700,-0.025515760029799384,165.1221438598633,
2022-04-12,164.5837860107422,166.75322864931675,163.58249672741925,164.93718134727843,79265200,0.011523370938376853,164.98672332763672,
2022-04-13,167.2735137939453,167.90177054609936,163.71012681510052,164.31874633095592,70618900,0.016342604872557454,164.90843048095704,
2022-04-14,162.25723266601562,168.1275216935812,162.01181969599824,167.4894389842446,75329400,-0.029988496171061252,164.7056948852539,
2022-04-18,162.0413055419922,163.54323192882495,160.56882751734665,160.91239673580466,69023900,-0.0013307704098953765,164.5562878417969,
2022-04-19,164.32852172851562,164.74082870702364,160.90256619104744,161.99220039694603,67723800,0.01411501949378402,164.4583187866211,
2022-04-20,164.16165161132812,165.78138631816157,163.05239509202772,165.66357789841544,67929800,-0.001015466550981281,164.3713442993164,
2022-04-21,163.3665313720703,168.38277391627963,162.86589422198446,165.81085035411152,87227800,-0.004843519978346422,164.20623046875,
2022-04-22,158.8214874267578,164.78993402071836,158.5368149070802,163.40581593701359,84882400,-0.02782114492570742,163.92174835205077,
2022-04-25,159.89146423339844,160.1761366901005,155.5525646879934,158.1637473249091,96046400,0.006736977621709217,163.74033874511719,
2022-04-26,153.9230499267578,159.36139588708184,153.84451596249764,159.27305079434743,95623200,-0.03732791075030961,163.5078839111328,
2022-04-27,153.69728088378906,156.85818695569935,152.52911245475866,153.04938688433683,88063200,-0.0014667656538521756,163.26620178222657,
2022-04-28,160.63754272460938,161.50140133184425,156.01395492484127,156.3280907743164,130216800,0.04515539768115917,163.08655975341796,
2022-04-29,154.75741577148438,163.1505424974972,154.36476100370217,158.87053962186658,131747600,-0.0366049358910181,162.7940267944336,
2022-05-02,155.06175231933594,155.326787567421,150.45780216717014,153.83468735250372,123055300,0.0019665393502108497,162.5796340942383,
